date,sleep_start_time,wake_time,total_sleep_minutes,deep_minutes,light_minutes,rem_minutes,awake_minutes,movement_sample_minutes,movement_level_mean,movement_level_max,movement_active_minutes,movement_active_threshold,steps_total,avg_heart_rate,min_heart_rate,max_heart_rate,avg_stress_score,presleep_stress_score,resting_heart_rate,awake_count,sleep_segment_count
2026-07-31,,,0,0,0,0,0,0,,,,1.0,57,79.46,67.0,112.0,55.65,,,,
2026-08-01,,,0,0,0,0,0,0,,,,1.0,98,71.35,61.0,103.0,25.06,,,,
2026-08-02,2026-08-02T02:13:00+08:00,2026-08-02T11:21:00+08:00,548,65,389,94,0,668,0.784,5.827,148,1.0,35,73.57,61.0,103.0,24.63,,68,1,17
2026-08-03,,,0,0,0,0,0,0,,,,1.0,35,76.08,68.0,95.0,24.18,,,,
2026-08-04,2026-08-04T01:40:00+08:00,2026-08-04T10:42:00+08:00,533,125,306,102,9,662,0.807,5.812,155,1.0,276,71.88,47.0,112.0,18.06,,52,3,36
2026-08-05,,,0,0,0,0,0,0,,,,1.0,331,72.24,45.0,112.0,17.4,,,,
2026-08-06,2026-08-06T03:22:00+08:00,2026-08-06T15:29:00+08:00,727,316,411,0,0,847,0.6,5.629,163,1.0,9,69.53,60.0,106.0,18.53,,68,1,11
2026-08-07,2026-08-07T03:59:00+08:00,2026-08-07T11:25:00+08:00,425,38,276,111,21,566,1.177,5.955,203,1.0,311,70.05,50.0,114.0,15.61,19.82,62,6,22
2026-08-08,,,0,0,0,0,0,0,,,,1.0,0,78.58,64.0,123.0,30.94,,,,
2026-08-09,2026-08-09T01:44:00+08:00,2026-08-09T07:53:00+08:00,321,59,233,29,48,489,1.639,6.59,352,1.0,2404,85.15,57.0,125.0,64.62,,72,3,13
2026-08-10,,,0,0,0,0,0,0,,,,1.0,0,,,,,,,,
